ccode,country,year,income,minLong,maxLong,minLat,maxLat,port
AL,Albania,1949,,,,,,no
AL,Albania,1950,160135,,,,,no
AL,Albania,1951,168187,,,,,no
AL,Albania,1952,168596.3,,,,,no
AL,Albania,1953,176291,,,,,no
AL,Albania,1954,182531.9,,,,,no
AL,Albania,1955,193524.6,,,,,no
AL,Albania,1956,195994,,,,,no
AL,Albania,1957,209560.8,,,,,no
AL,Albania,1958,219506.1,,,,,no
AL,Albania,1959,229512.8,,,,,no
AL,Albania,1960,242615.6,,,,,no
AL,Albania,1961,245330.3,,,,,no
AL,Albania,1962,254273.2,,,,,no
AL,Albania,1963,263617.4,,,,,no
AL,Albania,1964,273314.3,,,,,no
AL,Albania,1965,283653.1,,,,,no
AL,Albania,1966,294891.4,,,,,no
AL,Albania,1967,306590.7,,,,,no
AL,Albania,1968,318521,,,,,no
AL,Albania,1969,331117.1,,,,,no
AL,Albania,1970,344092.9,,,,,no
AL,Albania,1971,348184.3,,,,,no
AL,Albania,1972,352746,,,,,no
AL,Albania,1973,357423.1,,,,,no
AL,Albania,1974,361615.2,,,,,no
AL,Albania,1975,365658.7,,,,,no
AL,Albania,1976,369931.3,,,,,no
AL,Albania,1977,372818.3,,,,,no
AL,Albania,1978,377285,,,,,no
AL,Albania,1979,380410.7,,,,,no
AL,Albania,1980,381511.5,,,,,no
AL,Albania,1981,392491.5,,,,,no
AL,Albania,1982,392029.9,,,,,no
AL,Albania,1983,381095.6,,,,,no
AL,Albania,1984,361729.8,,,,,no
AL,Albania,1985,355840.7,,,,,no
AL,Albania,1986,364107,,,,,no
AL,Albania,1987,348372.6,,,,,no
AL,Albania,1988,334000.9,,,,,no
AL,Albania,1989,360419.6,,,,,no
AL,Albania,1990,314926.8,,,,,no
AL,Albania,1991,214836.9,,,,,no
AL,Albania,1992,199641.5,,,,,no
AL,Albania,1993,238433.3,,,,,no
AL,Albania,1994,260663.2,,,,,no
AL,Albania,1995,305778.9,,,,,no
