,bbox,id,maxDate,minDate,title,timePeriodsRange,area
0,"-3.606772, 39.460299, -3.606772, 39.460299",consabura,640,-330,Consabura,"-330.0,640.0",
1,"-3.606772, 39.460299, -3.606772, 39.460299",consabrum,640,-330,Consabrum,"-330.0,640.0",
2,"-3.606772, 39.460299, -3.606772, 39.460299",kondabora,640,-330,Kondabora,"-330.0,640.0",
3,"-3.606772, 39.460299, -3.606772, 39.460299",consaburrenses,300,-30,Consaburrenses,"-30.0,300.0",
16,"-1.0, 39.0, 0.0, 40.0",edetania,300,-330,Edetania,"-330.0,300.0",
17,"-1.0, 39.0, 0.0, 40.0",edetani,300,-330,Edetani,"-330.0,300.0",
18,"-1.0, 39.0, 0.0, 40.0",sedetani,300,-330,Sedetani,"-330.0,300.0",
34,"-1.0, 38.0, 0.0, 39.0",iaspis,640,-30,Iaspis,"-30.0,640.0",
35,"-1.0, 38.0, 0.0, 39.0",aspis,640,-30,Aspis,"-30.0,640.0",
50,"-1.0, 38.0, 0.0, 39.0",ilicitanus-sinus,300,-30,Ilicitanus Sinus,"-30.0,300.0",
77,"-0.484794, 38.346018, -0.484794, 38.346018",lucentum,640,-330,Lucentum,"-330.0,640.0",
78,"-0.484794, 38.346018, -0.484794, 38.346018",akra-leuke,640,-330,Akra Leuke,"-330.0,640.0",
79,"-0.484794, 38.346018, -0.484794, 38.346018",castrum-album,640,-330,Castrum Album,"-330.0,640.0",
107,"-4.0, 38.0, -3.0, 39.0",oretana-iuga,300,-30,Oretana Iuga,"-30.0,300.0",
108,"-4.0, 38.0, -3.0, 39.0",oretania,300,-330,Oretania,"-330.0,300.0",
109,"-4.0, 38.0, -3.0, 39.0",oretani,300,-330,Oretani,"-330.0,300.0",
110,"-4.0, 38.0, -3.0, 39.0",oretanoi,300,-30,Oretanoi,"-30.0,300.0",
111,"-4.0, 38.0, -3.0, 39.0",oretum,640,-330,Oretum,"-330.0,640.0",
112,"-4.0, 38.0, -3.0, 39.0",oria,640,-330,Oria,"-330.0,640.0",
113,"-4.0, 38.0, -3.0, 39.0",horetum,640,-330,Horetum,"-330.0,640.0",
114,"-3.0, 37.0, -2.0, 38.0",Orospeda-M,300,-330,Orospeda M.,"-330.0,300.0",
128,"-1.0, 38.0, 0.0, 39.0",saetabis,300,-30,Saetabis,"-30.0,300.0",
129,"-1.0, 39.0, 0.0, 40.0",saguntum,640,-550,Saguntum,"-550.0,640.0",
130,"-1.0, 39.0, 0.0, 40.0",arse,640,-550,Arse,"-550.0,640.0",
138,"-1.0, 37.0, 0.0, 38.0",saturni,300,-30,Saturni,"-30.0,300.0",
139,"-1.0, 37.0, 0.0, 38.0",Scombraria-Pr,300,-30,Scombraria Pr.,"-30.0,300.0",
140,"-1.0, 37.0, 0.0, 38.0",scombraria,300,-330,Scombraria,"-330.0,300.0",
141,"-1.0, 37.0, 0.0, 38.0",hercules,300,-330,Hercules,"-330.0,300.0",
148,"-3.690755, 36.734589, -3.690755, 36.734589",sexi,640,-750,Sexi,"-750.0,640.0",
149,"-3.690755, 36.734589, -3.690755, 36.734589",saxetanum,640,-750,Saxetanum,"-750.0,640.0",
150,"-3.690755, 36.734589, -3.690755, 36.734589",caesarea,640,-750,Caesarea,"-750.0,640.0",
151,"-3.690755, 36.734589, -3.690755, 36.734589",firmum-iulium,640,-750,Firmum Iulium,"-750.0,640.0",
153,"-4.518296, 38.645383, -4.517906, 38.646441",sisapo,640,-330,Sisapo,"-330.0,640.0",
154,"-4.518296, 38.645383, -4.517906, 38.646441",saesapo,300,-330,Saesapo,"-330.0,300.0",
155,"-4.518296, 38.645383, -4.517906, 38.646441",sisalo,640,-330,Sisalo,"-330.0,640.0",
156,"-4.0, 37.0, -3.0, 38.0",Solorius-M,640,-330,Solorius M.,"-330.0,640.0",
157,"-1.0, 38.0, 0.0, 39.0",sorobis,300,-30,Sorobis,"-30.0,300.0",
171,"-1.0, 39.0, 0.0, 40.0",sucro,300,-330,Sucro,"-330.0,300.0",
172,"-1.0, 39.0, 0.0, 40.0",sucronensis-sinus,300,-30,Sucronensis Sinus,"-30.0,300.0",
183,"-3.966243, 37.722761, -3.966243, 37.722761",tucci,640,-330,Tucci,"-330.0,640.0",
184,"-3.966243, 37.722761, -3.966243, 37.722761",col-augusta-gemella,640,-330,Col. Augusta Gemella,"-330.0,640.0",
185,"-3.966243, 37.722761, -3.966243, 37.722761",itukke,640,-330,Itukke,"-330.0,640.0",
189,"-3.0, 37.0, -2.0, 38.0",tugiensis-saltus,300,-330,Tugiensis Saltus,"-330.0,300.0",
190,"-3.0, 36.0, -2.0, 37.0",turaniana,640,-30,Turaniana,"-30.0,640.0",
191,"-5.0, 37.0, -4.0, 38.0",turdetania,640,-330,Turdetania,"-330.0,640.0",
192,"-5.0, 37.0, -4.0, 38.0",turdetani,640,-330,Turdetani,"-330.0,640.0",
193,"-1.0, 39.0, 0.0, 40.0",turia,300,-330,Turia,"-330.0,300.0",
